Game,Team,days_of_rest,CA,CF,FA,FF,GA,GF,HDCA,HDCF,HDGA,HDGF,HDSA,HDSF,LDCA,LDCF,LDGA,LDGF,LDSA,LDSF,MDCA,MDCF,MDGA,MDGF,MDSA,MDSF,PDO,SA,SCA,SCF,SF,xGA,xGF
"2021-04-03 - CBJ 2, FLA 5",FLA,1.0,50.1,59.7,37.1,45.3,2.3,2.9,10.1,12.5,1.5,1.8,8.3,10.7,21.4,26.5,0.2,0.4,10.5,13.8,14.6,16.5,0.5,0.6,7.8,9.3,1.0061,28.5,24.7,29.0,35.4,2.587,3.4490000000000003
"2021-04-04 - CBJ 0, FLA 3",FLA,0.0,52.0,61.0,38.6,45.8,2.2,2.8,10.7,12.5,1.5,1.7,9.1,10.5,22.2,27.5,0.2,0.3,11.2,14.3,15.1,16.9,0.4,0.7,8.1,9.4,1.0083,30.2,25.8,29.4,35.7,2.762,3.2830000000000004
"2021-04-06 - FLA 2, CAR 5",FLA,1.0,53.1,60.0,39.1,44.5,2.0,3.0,10.5,12.1,1.4,1.7,8.9,10.2,22.9,26.9,0.2,0.5,11.5,14.1,15.4,16.7,0.3,0.7,8.2,9.1,1.0219,30.7,25.9,28.8,35.1,2.7030000000000003,3.2090000000000005
"2021-04-08 - FLA 0, CAR 3",FLA,1.0,55.3,57.3,41.1,43.1,2.5,3.0,11.4,11.7,1.5,1.6,9.7,10.0,24.2,25.0,0.5,0.5,12.3,13.0,15.5,16.2,0.4,0.8,8.2,9.0,1.0094999999999998,32.2,26.9,27.9,33.8,3.059,3.083
"2021-04-10 - FLA 1, DAL 4",FLA,1.0,55.5,56.9,41.8,42.8,2.3,2.7,11.2,12.0,1.1,1.4,8.8,10.2,24.7,25.1,0.5,0.4,12.7,12.7,15.4,15.4,0.6,0.8,8.5,8.4,1.0074,32.0,26.6,27.4,33.0,3.081,3.085
"2021-04-13 - FLA 3, DAL 2",FLA,2.0,53.7,57.1,40.9,42.1,2.4,2.6,11.0,11.9,1.1,1.3,8.5,9.8,23.5,25.3,0.5,0.4,11.9,12.3,14.6,15.0,0.7,0.8,7.9,7.7,0.9959,30.8,25.6,26.9,31.6,2.961,3.006
"2021-04-15 - FLA 2, TB 3",FLA,1.0,55.8,56.0,42.5,41.7,2.3,2.9,12.2,11.2,1.1,1.4,9.2,9.1,24.1,25.4,0.5,0.6,12.0,12.2,14.5,14.5,0.7,0.8,7.7,7.6,1.0122,31.3,26.7,25.7,30.6,2.995,2.9130000000000003
"2021-04-17 - FLA 5, TB 3",FLA,1.0,53.1,55.2,40.4,41.8,2.3,2.7,11.5,11.5,1.1,1.3,8.9,9.7,23.0,25.5,0.5,0.6,11.5,12.8,13.8,13.6,0.7,0.7,7.0,7.3,0.9962,29.8,25.3,25.1,31.6,2.838,2.868
"2021-04-19 - CBJ 2, FLA 4",FLA,1.0,52.4,55.7,40.0,42.6,2.5,2.8,11.1,11.2,1.3,1.6,8.7,9.7,22.6,26.5,0.5,0.7,11.4,13.5,14.2,14.0,0.7,0.4,7.4,7.7,0.9876,29.5,25.3,25.2,32.5,2.739,2.7860000000000005
"2021-04-20 - CBJ 1, FLA 5",FLA,0.0,53.3,55.7,40.5,43.2,2.6,2.8,10.7,11.0,1.4,1.4,8.3,9.5,24.4,26.5,0.5,0.8,12.4,13.7,13.9,14.2,0.7,0.4,7.2,8.3,0.983,29.5,24.6,25.2,33.1,2.657,2.911
