Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-01-13 - CGY 3, VGK 1",CGY,61,81,43,55,26,32,3,1,2.38,2.99,25,46,7,9,4,4,3,0,18,37,7,15,0,1,39,41,14,10,0,0,1.084
"2024-01-13 - CGY 3, VGK 1",VGK,81,61,55,43,32,26,1,3,2.99,2.38,46,25,9,7,4,4,0,3,37,18,15,7,1,0,41,39,10,14,0,0,0.916
"2024-01-14 - WSH 1, NYR 2",NYR,56,62,44,37,31,25,2,1,3.73,2.82,24,32,12,10,9,6,1,1,12,22,4,7,0,0,39,37,17,10,1,0,1.025
"2024-01-14 - WSH 1, NYR 2",WSH,62,56,37,44,25,31,1,2,2.82,3.73,32,24,10,12,6,9,1,1,22,12,7,4,0,0,37,39,10,17,0,1,0.975
"2024-01-14 - DET 4, TOR 2",DET,52,67,37,46,24,30,4,2,2.78,2.98,20,27,7,12,4,8,1,2,13,15,5,8,1,0,32,50,13,11,2,0,1.1
"2024-01-14 - DET 4, TOR 2",TOR,67,52,46,37,30,24,2,4,2.98,2.78,27,20,12,7,8,4,2,1,15,13,8,5,0,1,50,32,11,13,0,2,0.9
"2024-01-15 - NJ 0, BOS 3",BOS,69,61,52,44,36,31,3,0,5.29,2.6,44,28,22,9,13,6,0,0,22,19,11,10,2,0,33,47,11,14,1,0,1.083
"2024-01-15 - NJ 0, BOS 3",NJ,61,69,44,52,31,36,0,3,2.6,5.29,28,44,9,22,6,13,0,0,19,22,10,11,0,2,47,33,14,11,0,1,0.917
"2024-01-15 - SJ 0, BUF 3",BUF,63,63,48,46,35,28,3,0,3.44,3.4,30,27,11,15,5,8,0,0,19,12,10,4,1,0,40,43,18,15,2,0,1.086
"2024-01-15 - SJ 0, BUF 3",SJ,63,63,46,48,28,35,0,3,3.4,3.44,27,30,15,11,8,5,0,0,12,19,4,10,0,1,43,40,15,18,0,2,0.914
"2024-01-15 - VAN 3, CBJ 4",CBJ,74,55,63,40,44,30,3,3,4.72,2.87,38,29,19,13,15,10,3,1,19,16,6,6,0,1,41,26,22,11,0,1,0.968
"2024-01-15 - VAN 3, CBJ 4",VAN,55,74,40,63,30,44,3,3,2.87,4.72,29,38,13,19,10,15,1,3,16,19,6,6,1,0,26,41,11,22,1,0,1.032
"2024-01-15 - ANA 5, FLA 4",ANA,50,76,39,57,26,33,5,4,1.92,3.44,20,28,11,15,8,8,3,2,9,13,5,6,2,2,32,67,9,18,0,0,1.071
"2024-01-15 - ANA 5, FLA 4",FLA,76,50,57,39,33,26,4,5,3.44,1.92,28,20,15,11,8,8,2,3,13,9,6,5,2,2,67,32,18,9,0,0,0.929
"2024-01-15 - LA 5, CAR 2",CAR,66,48,46,39,32,26,2,5,3.32,3.31,30,24,11,10,8,5,2,1,19,14,8,8,0,3,43,28,14,12,0,1,0.87
"2024-01-15 - LA 5, CAR 2",LA,48,66,39,46,26,32,5,2,3.31,3.32,24,30,10,11,5,8,1,2,14,19,8,8,3,0,28,43,12,14,1,0,1.13
"2024-01-15 - NYI 0, MIN 5",MIN,66,47,52,33,40,21,5,0,3.03,2.19,36,18,15,8,11,5,2,0,21,10,12,5,2,0,44,30,17,11,1,0,1.125
"2024-01-15 - NYI 0, MIN 5",NYI,47,66,33,52,21,40,0,5,2.19,3.03,18,36,8,15,5,11,0,2,10,21,5,12,0,2,30,44,11,17,0,1,0.875
"2024-01-15 - SEA 0, PIT 3",PIT,62,50,46,38,33,22,3,0,2.76,1.94,20,18,9,6,5,3,1,0,11,12,7,1,0,0,45,34,17,16,2,0,1.091
"2024-01-15 - SEA 0, PIT 3",SEA,50,62,38,46,22,33,0,3,1.94,2.76,18,20,6,9,3,5,0,1,12,11,1,7,0,0,34,45,16,17,0,2,0.909
"2024-01-15 - COL 3, MTL 4",COL,84,47,54,39,35,34,3,4,3.59,3.16,40,16,13,7,5,7,1,3,27,9,11,7,1,0,44,40,18,19,1,1,0.968
"2024-01-15 - COL 3, MTL 4",MTL,47,84,39,54,34,35,4,3,3.16,3.59,16,40,7,13,7,5,3,1,9,27,7,11,0,1,40,44,19,18,1,1,1.032
"2024-01-15 - PHI 4, STL 2",PHI,78,58,59,40,42,30,4,2,4.54,2.93,40,26,21,7,13,5,4,1,19,19,8,8,0,0,42,33,19,15,0,1,1.029
"2024-01-15 - PHI 4, STL 2",STL,58,78,40,59,30,42,2,4,2.93,4.54,26,40,7,21,5,13,1,4,19,19,8,8,0,0,33,42,15,19,1,0,0.971
"2024-01-15 - NSH 1, VGK 4",NSH,77,67,55,42,35,29,1,4,3.29,3.13,41,30,12,10,5,5,1,2,29,20,14,9,0,1,35,41,13,13,0,1,0.891
"2024-01-15 - NSH 1, VGK 4",VGK,67,77,42,55,29,35,4,1,3.13,3.29,30,41,10,12,5,5,2,1,20,29,9,14,1,0,41,35,13,13,1,0,1.109
"2024-01-16 - SEA 2, NYR 5",NYR,52,66,40,50,23,31,5,2,3.67,3.05,25,31,12,15,6,10,2,2,13,16,5,6,2,0,29,35,11,15,1,0,1.153
"2024-01-16 - SEA 2, NYR 5",SEA,66,52,50,40,31,23,2,5,3.05,3.67,31,25,15,12,10,6,2,2,16,13,6,5,0,2,35,29,15,11,0,1,0.847
"2024-01-16 - COL 7, OTT 4",COL,54,81,39,56,34,40,7,4,3.05,4.6,25,40,11,19,8,15,2,3,14,21,8,11,3,1,33,57,16,14,1,0,1.106
"2024-01-16 - COL 7, OTT 4",OTT,81,54,56,39,40,34,4,7,4.6,3.05,40,25,19,11,15,8,3,2,21,14,11,8,1,3,57,33,14,16,0,1,0.894
"2024-01-16 - ANA 0, WSH 2",ANA,63,51,40,37,24,28,0,2,1.97,3.03,21,24,6,12,4,7,0,1,15,12,2,5,0,0,42,29,16,15,0,0,0.929
"2024-01-16 - ANA 0, WSH 2",WSH,51,63,37,40,28,24,2,0,3.03,1.97,24,21,12,6,7,4,1,0,12,15,5,2,0,0,29,42,15,16,0,0,1.071
"2024-01-16 - LA 1, DAL 5",DAL,60,75,43,52,28,32,5,1,2.86,4.26,33,35,13,15,7,11,2,0,20,20,8,6,3,1,29,44,12,15,0,0,1.147
"2024-01-16 - LA 1, DAL 5",LA,75,60,52,43,32,28,1,5,4.26,2.86,35,33,15,13,11,7,0,2,20,20,6,8,1,3,44,29,15,12,0,0,0.853
"2024-01-16 - NYI 2, WPG 4",NYI,63,72,50,60,37,44,2,4,3.41,5.76,27,35,16,12,14,7,2,2,11,23,6,13,0,1,38,40,16,22,0,1,0.963
"2024-01-16 - NYI 2, WPG 4",WPG,72,63,60,50,44,37,4,2,5.76,3.41,35,27,12,16,7,14,2,2,23,11,13,6,1,0,40,38,22,16,1,0,1.037
"2024-01-16 - SJ 1, CHI 2",CHI,64,65,41,56,25,38,1,1,2.38,4.56,25,37,9,16,6,8,1,0,16,21,6,15,0,1,43,36,10,13,0,0,1.014
"2024-01-16 - SJ 1, CHI 2",SJ,65,64,56,41,38,25,1,1,4.56,2.38,37,25,16,9,8,6,0,1,21,16,15,6,1,0,36,43,13,10,0,0,0.986
"2024-01-16 - ARI 2, CGY 3",ARI,63,54,44,42,25,30,2,3,3.07,2.64,32,28,15,10,9,9,1,2,17,18,5,10,0,1,32,34,8,11,1,0,0.98
"2024-01-16 - ARI 2, CGY 3",CGY,54,63,42,44,30,25,3,2,2.64,3.07,28,32,10,15,9,9,2,1,18,17,10,5,1,0,34,32,11,8,0,1,1.02
"2024-01-16 - TOR 2, EDM 4",EDM,75,52,53,41,32,27,4,2,4.95,3.26,41,26,20,11,11,7,1,1,21,15,7,6,1,1,36,28,12,14,1,0,1.051
"2024-01-16 - TOR 2, EDM 4",TOR,52,75,41,53,27,32,2,4,3.26,4.95,26,41,11,20,7,11,1,1,15,21,6,7,1,1,28,36,14,12,0,1,0.949
"2024-01-17 - DET 3, FLA 2",DET,49,76,36,50,29,34,3,2,1.4,3.36,10,35,6,14,5,8,2,1,4,21,2,10,1,1,33,44,17,15,0,0,1.045
"2024-01-17 - DET 3, FLA 2",FLA,76,49,50,36,34,29,2,3,3.36,1.4,35,10,14,6,8,5,1,2,21,4,10,2,1,1,44,33,15,17,0,0,0.955
"2024-01-17 - MTL 3, NJ 2",MTL,45,69,33,52,25,30,3,2,2.99,3.87,25,28,12,14,9,8,3,0,13,14,7,5,0,0,19,48,7,17,0,2,1.053
"2024-01-17 - MTL 3, NJ 2",NJ,69,45,52,33,30,25,2,3,3.87,2.99,28,25,14,12,8,9,0,3,14,13,5,7,0,0,48,19,17,7,2,0,0.947
"2024-01-18 - CHI 0, BUF 3",BUF,64,40,44,26,31,19,3,0,2.58,2.07,28,18,8,9,4,4,1,0,20,9,7,6,0,0,40,24,17,8,2,0,1.097
"2024-01-18 - CHI 0, BUF 3",CHI,40,64,26,44,19,31,0,3,2.07,2.58,18,28,9,8,4,4,0,1,9,20,6,7,0,0,24,40,8,17,0,2,0.903
"2024-01-18 - COL 2, BOS 5",BOS,63,63,42,49,31,32,5,2,3.91,3.26,32,32,12,14,9,9,2,2,20,18,9,10,2,0,39,36,13,12,1,0,1.099
"2024-01-18 - COL 2, BOS 5",COL,63,63,49,42,32,31,2,5,3.26,3.91,32,32,14,12,9,9,2,2,18,20,10,9,0,2,36,39,12,13,0,1,0.901
"2024-01-18 - MTL 2, OTT 6",MTL,52,76,35,61,23,37,2,6,2.62,3.87,29,37,8,15,5,7,0,1,21,22,8,15,2,3,26,47,10,12,0,2,0.925
"2024-01-18 - MTL 2, OTT 6",OTT,76,52,61,35,37,23,6,2,3.87,2.62,37,29,15,8,7,5,1,0,22,21,15,8,3,2,47,26,12,10,2,0,1.075
"2024-01-18 - DAL 1, PHI 5",DAL,46,77,26,55,15,43,1,5,1.46,3.38,18,37,5,13,2,11,0,2,13,24,5,11,1,3,28,46,8,20,0,0,0.95
"2024-01-18 - DAL 1, PHI 5",PHI,77,46,55,26,43,15,5,1,3.38,1.46,37,18,13,5,11,2,2,0,24,13,11,5,3,1,46,28,20,8,0,0,1.05
"2024-01-18 - MIN 3, TB 7",MIN,63,67,44,53,33,38,3,7,2.44,3.58,30,31,11,11,10,10,2,3,19,20,9,10,1,3,32,41,12,17,0,1,0.907
"2024-01-18 - MIN 3, TB 7",TB,67,63,53,44,38,33,7,3,3.58,2.44,31,30,11,11,10,10,3,2,20,19,10,9,3,1,41,32,17,12,1,0,1.093
"2024-01-18 - STL 2, WSH 5",STL,52,49,33,33,20,26,2,5,2.4,3.57,28,24,10,7,6,6,2,2,18,17,6,5,0,1,29,27,7,13,0,2,0.908
"2024-01-18 - STL 2, WSH 5",WSH,49,52,33,33,26,20,5,2,3.57,2.4,24,28,7,10,6,6,2,2,17,18,5,6,1,0,27,29,13,7,2,0,1.092
"2024-01-18 - TOR 4, CGY 3",CGY,59,61,45,48,26,32,3,4,2.65,4.03,23,30,12,14,7,10,2,1,11,16,7,11,1,2,41,39,11,9,0,1,0.99
"2024-01-18 - TOR 4, CGY 3",TOR,61,59,48,45,32,26,4,3,4.03,2.65,30,23,14,12,10,7,1,2,16,11,11,7,2,1,39,41,9,11,1,0,1.01
"2024-01-18 - SEA 2, EDM 4",EDM,53,57,44,38,36,27,4,2,3.49,2.23,28,25,14,8,10,3,3,1,14,17,10,10,1,1,32,32,15,13,0,0,1.037
"2024-01-18 - SEA 2, EDM 4",SEA,57,53,38,44,27,36,2,4,2.23,3.49,25,28,8,14,3,10,1,3,17,14,10,10,1,1,32,32,13,15,0,0,0.963
"2024-01-18 - NSH 2, LA 1",LA,78,66,55,49,34,33,1,2,4.5,3.42,36,37,20,15,13,8,0,2,16,22,3,8,1,0,49,32,17,13,0,0,0.969
"2024-01-18 - NSH 2, LA 1",NSH,66,78,49,55,33,34,2,1,3.42,4.5,37,36,15,20,8,13,2,0,22,16,8,3,0,1,32,49,13,17,0,0,1.031
"2024-01-18 - ARI 1, VAN 2",ARI,38,51,26,40,21,26,1,2,1.63,3.32,17,24,5,13,3,9,0,1,12,11,7,3,1,1,22,35,10,12,0,0,0.971
"2024-01-18 - ARI 1, VAN 2",VAN,51,38,40,26,26,21,2,1,3.32,1.63,24,17,13,5,9,3,1,0,11,12,3,7,1,1,35,22,12,10,0,0,1.029
