Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2022-10-07 - SJ 1, NSH 4",NSH,69,57,46,46,32,31,4,1,4.53,2.94,41,28,19,11,13,8,1,0,22,17,10,7,3,1,25,24,8,14,0,0,1.093
"2022-10-07 - SJ 1, NSH 4",SJ,57,69,46,46,31,32,1,4,2.94,4.53,28,41,11,19,8,13,0,1,17,22,7,10,1,3,24,25,14,8,0,0,0.907
"2022-10-08 - NSH 3, SJ 2",NSH,49,67,33,44,18,33,3,2,1.57,3.48,21,37,6,13,5,10,2,1,15,24,5,11,1,1,25,28,6,11,0,0,1.106
"2022-10-08 - NSH 3, SJ 2",SJ,67,49,44,33,33,18,2,3,3.48,1.57,37,21,13,6,10,5,1,2,24,15,11,5,1,1,28,25,11,6,0,0,0.894
"2022-10-11 - TB 1, NYR 3",NYR,71,46,49,34,39,26,3,1,5.82,2.78,43,30,21,13,16,11,2,1,22,17,6,8,0,0,23,14,16,6,1,0,1.038
"2022-10-11 - TB 1, NYR 3",TB,46,71,34,49,26,39,1,3,2.78,5.82,30,43,13,21,11,16,1,2,17,22,8,6,0,0,14,23,6,16,0,1,0.962
"2022-10-11 - VGK 4, LA 3",LA,56,81,43,59,30,51,3,4,2.78,4.6,28,57,15,22,11,20,3,1,13,35,5,14,0,3,25,18,12,14,0,0,1.022
"2022-10-11 - VGK 4, LA 3",VGK,81,56,59,43,51,30,4,3,4.6,2.78,57,28,22,15,20,11,1,3,35,13,14,5,3,0,18,25,14,12,0,0,0.978
"2022-10-12 - BOS 5, WSH 2",BOS,51,66,38,46,30,35,5,2,3.28,2.92,28,29,11,11,7,6,3,0,17,18,8,11,1,2,18,30,10,14,0,0,1.11
"2022-10-12 - BOS 5, WSH 2",WSH,66,51,46,38,35,30,2,5,2.92,3.28,29,28,11,11,6,7,0,3,18,17,11,8,2,1,30,18,14,10,0,0,0.89
"2022-10-12 - CBJ 1, CAR 4",CAR,96,51,74,42,43,32,4,1,3.77,2.75,37,27,15,8,9,6,2,0,22,19,10,14,1,0,47,15,20,7,1,1,1.062
"2022-10-12 - CBJ 1, CAR 4",CBJ,51,96,42,74,32,43,1,4,2.75,3.77,27,37,8,15,6,9,0,2,19,22,14,10,0,1,15,47,7,20,1,1,0.938
"2022-10-12 - TOR 3, MTL 4",MTL,50,63,35,40,23,32,4,3,2.47,2.96,30,40,11,13,5,12,2,3,19,27,10,7,2,0,18,16,8,11,0,0,1.08
"2022-10-12 - TOR 3, MTL 4",TOR,63,50,40,35,32,23,3,4,2.96,2.47,40,30,13,11,12,5,3,2,27,19,7,10,0,2,16,18,11,8,0,0,0.92
