Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-04-25 - NJ 3, PHI 4",NJ,54,68,44,49,32,36,3,3,2.35,2.15,23,22,11,5,8,5,3,0,12,17,6,13,0,3,26,41,16,16,0,0,1.01
"2021-04-25 - NJ 3, PHI 4",PHI,68,54,49,44,36,32,3,3,2.15,2.35,22,23,5,11,5,8,0,3,17,12,13,6,3,0,41,26,16,16,0,0,0.99
"2021-04-25 - BUF 3, NYR 6",BUF,59,47,48,44,34,29,3,6,2.27,3.43,26,25,6,9,5,7,1,2,20,16,9,8,1,0,31,19,19,11,1,3,0.881
"2021-04-25 - BUF 3, NYR 6",NYR,47,59,44,48,29,34,6,3,3.43,2.27,25,26,9,6,7,5,2,1,16,20,8,9,0,1,19,31,11,19,3,1,1.119
"2021-04-25 - CBJ 3, TB 4",CBJ,38,69,28,55,22,34,3,4,1.7,3.5,26,40,9,10,7,6,3,2,17,30,7,15,0,2,11,29,7,13,0,0,1.019
"2021-04-25 - CBJ 3, TB 4",TB,69,38,55,28,34,22,4,3,3.5,1.7,40,26,10,9,6,7,2,3,30,17,15,7,2,0,29,11,13,7,0,0,0.981
"2021-04-25 - BOS 0, PIT 1",BOS,45,52,37,38,30,29,0,1,1.4,2.3,13,30,2,11,1,10,0,0,11,19,9,7,0,1,27,22,18,12,0,0,0.966
"2021-04-25 - BOS 0, PIT 1",PIT,52,45,38,37,29,30,1,0,2.3,1.4,30,13,11,2,10,1,0,0,19,11,7,9,1,0,22,27,12,18,0,0,1.034
"2021-04-26 - COL 1, STL 4",COL,71,30,49,26,32,20,1,4,3.41,1.61,28,18,15,7,9,7,0,2,13,11,6,7,1,2,36,12,15,6,0,0,0.831
"2021-04-26 - COL 1, STL 4",STL,30,71,26,49,20,32,4,1,1.61,3.41,18,28,7,15,7,9,2,0,11,13,7,6,2,1,12,36,6,15,0,0,1.169
"2021-04-26 - FLA 1, NSH 4",FLA,65,39,52,34,40,27,1,4,3.36,2.5,41,27,17,11,12,11,1,4,24,16,14,9,0,0,22,11,14,6,0,0,0.877
"2021-04-26 - FLA 1, NSH 4",NSH,39,65,34,52,27,40,4,1,2.5,3.36,27,41,11,17,11,12,4,1,16,24,9,14,0,0,11,22,6,14,0,0,1.123
"2021-04-26 - VAN 1, OTT 2",OTT,50,43,36,32,27,26,2,1,1.91,1.31,29,16,7,4,3,3,0,0,22,12,14,6,2,0,18,20,9,13,0,1,1.036
"2021-04-26 - VAN 1, OTT 2",VAN,43,50,32,36,26,27,1,2,1.31,1.91,16,29,4,7,3,3,0,0,12,22,6,14,0,2,20,18,13,9,1,0,0.964
"2021-04-26 - EDM 6, WPG 1",EDM,52,67,36,49,30,37,6,1,2.18,2.75,26,43,5,12,3,7,2,0,21,31,14,18,4,1,23,20,11,12,0,0,1.173
"2021-04-26 - EDM 6, WPG 1",WPG,67,52,49,36,37,30,1,6,2.75,2.18,43,26,12,5,7,3,0,2,31,21,18,14,1,4,20,23,12,11,0,0,0.827
"2021-04-26 - MTL 2, CGY 1",CGY,45,49,35,35,22,24,1,2,1.55,2.14,18,17,6,3,3,3,0,1,12,14,6,7,1,0,25,27,11,12,0,1,0.962
"2021-04-26 - MTL 2, CGY 1",MTL,49,45,35,35,24,22,2,1,2.14,1.55,17,18,3,6,3,3,1,0,14,12,7,6,0,1,27,25,12,11,1,0,1.038
"2021-04-26 - CAR 3, DAL 4",CAR,66,47,49,39,32,31,3,4,2.61,2.58,30,25,8,13,5,11,1,3,22,12,9,9,1,1,30,16,18,9,1,0,0.965
"2021-04-26 - CAR 3, DAL 4",DAL,47,66,39,49,31,32,4,3,2.58,2.61,25,30,13,8,11,5,3,1,12,22,9,9,1,1,16,30,9,18,0,1,1.035
"2021-04-26 - ANA 1, LA 4",ANA,48,51,36,40,22,25,1,4,1.86,3.42,22,20,7,9,2,7,0,2,15,11,7,3,0,0,20,25,10,12,1,1,0.885
"2021-04-26 - ANA 1, LA 4",LA,51,48,40,36,25,22,4,1,3.42,1.86,20,22,9,7,7,2,2,0,11,15,3,7,0,0,25,20,12,10,1,1,1.115
"2021-04-26 - ARI 4, SJ 6",ARI,45,51,34,40,25,34,4,6,2.16,2.89,17,23,8,9,6,6,3,2,9,14,5,10,0,0,23,22,13,14,1,3,0.984
"2021-04-26 - ARI 4, SJ 6",SJ,51,45,40,34,34,25,6,4,2.89,2.16,23,17,9,8,6,6,2,3,14,9,10,5,0,0,22,23,14,13,3,1,1.016
"2021-04-27 - NYI 0, WSH 1",NYI,45,66,33,50,18,33,0,1,2.19,3.7,24,40,11,20,5,15,0,1,13,20,6,8,0,0,16,22,6,10,0,0,0.97
"2021-04-27 - NYI 0, WSH 1",WSH,66,45,50,33,33,18,1,0,3.7,2.19,40,24,20,11,15,5,1,0,20,13,8,6,0,0,22,16,10,6,0,0,1.03
"2021-04-27 - PHI 4, NJ 6",NJ,44,63,36,45,27,30,6,4,3.19,3.41,25,36,11,13,9,10,3,2,14,23,6,7,2,1,16,25,11,13,1,1,1.089
"2021-04-27 - PHI 4, NJ 6",PHI,63,44,45,36,30,27,4,6,3.41,3.19,36,25,13,11,10,9,2,3,23,14,7,6,1,2,25,16,13,11,1,1,0.911
"2021-04-27 - BUF 1, NYR 3",BUF,62,66,46,59,37,41,1,3,3.71,4.7,32,35,18,17,16,14,1,1,14,18,8,7,0,0,27,28,12,18,0,2,0.954
"2021-04-27 - BUF 1, NYR 3",NYR,66,62,59,46,41,37,3,1,4.7,3.71,35,32,17,18,14,16,1,1,18,14,7,8,0,0,28,27,18,12,2,0,1.046
