Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-10-12 - PIT 6, TB 2",PIT,58,55,47,40,35,28,6,2,4.04,1.96,36,26,12,8,10,6,2,1,24,18,14,7,1,1,18,25,9,12,1,0,1.1
"2021-10-12 - PIT 6, TB 2",TB,55,58,40,47,28,35,2,6,1.96,4.04,26,36,8,12,6,10,1,2,18,24,7,14,1,1,25,18,12,9,0,1,0.9
"2021-10-12 - SEA 3, VGK 4",SEA,63,58,44,47,31,30,3,4,2.52,3.69,29,29,13,12,7,10,2,3,16,17,9,4,0,1,30,25,15,15,1,0,0.963
"2021-10-12 - SEA 3, VGK 4",VGK,58,63,47,44,30,31,4,3,3.69,2.52,29,29,12,13,10,7,3,2,17,16,4,9,1,0,25,30,15,15,0,1,1.037
"2021-10-13 - MTL 1, TOR 2",MTL,55,64,41,51,32,30,1,2,2.37,3.58,25,41,8,16,7,11,1,0,17,25,13,10,0,2,23,20,11,8,0,0,0.965
"2021-10-13 - MTL 1, TOR 2",TOR,64,55,51,41,30,32,2,1,3.58,2.37,41,25,16,8,11,7,0,1,25,17,10,13,2,0,20,23,8,11,0,0,1.035
"2021-10-13 - NYR 1, WSH 5",NYR,53,48,38,40,24,27,1,5,2.81,2.0,26,26,7,5,3,4,1,2,19,21,11,11,0,2,23,16,10,9,0,1,0.856
"2021-10-13 - NYR 1, WSH 5",WSH,48,53,40,38,27,24,5,1,2.0,2.81,26,26,5,7,4,3,2,1,21,19,11,11,2,0,16,23,9,10,1,0,1.144
"2021-10-13 - CHI 2, COL 4",CHI,61,70,44,49,34,36,2,4,2.07,3.45,24,45,6,15,4,10,0,3,18,30,9,12,1,0,33,20,19,13,1,1,0.948
"2021-10-13 - CHI 2, COL 4",COL,70,61,49,44,36,34,4,2,3.45,2.07,45,24,15,6,10,4,3,0,30,18,12,9,0,1,20,33,13,19,1,1,1.052
"2021-10-13 - VAN 2, EDM 3",EDM,62,61,45,44,34,38,2,2,3.46,2.7,34,27,15,11,12,11,2,0,19,16,8,10,0,0,21,30,10,16,0,2,1.006
"2021-10-13 - VAN 2, EDM 3",VAN,61,62,44,45,38,34,2,2,2.7,3.46,27,34,11,15,11,12,0,2,16,19,10,8,0,0,30,21,16,10,2,0,0.994
"2021-10-13 - WPG 1, ANA 4",ANA,39,67,33,48,22,34,4,1,3.39,3.31,20,29,12,7,9,4,3,0,8,22,6,15,1,0,16,32,6,14,0,1,1.152
"2021-10-13 - WPG 1, ANA 4",WPG,67,39,48,33,34,22,1,4,3.31,3.39,29,20,7,12,4,9,0,3,22,8,15,6,0,1,32,16,14,6,1,0,0.848
"2021-10-14 - MTL 1, BUF 5",BUF,58,54,49,38,36,31,5,1,2.79,1.7,25,20,9,8,8,7,1,0,16,12,11,5,2,1,33,33,17,19,2,0,1.107
"2021-10-14 - MTL 1, BUF 5",MTL,54,58,38,49,31,36,1,5,1.7,2.79,20,25,8,9,7,8,0,1,12,16,5,11,1,2,33,33,19,17,0,2,0.893
"2021-10-14 - TOR 2, OTT 3",OTT,68,75,53,63,36,48,3,2,4.36,4.85,49,44,21,25,13,20,2,0,28,19,13,9,1,1,16,26,10,16,0,1,1.042
"2021-10-14 - TOR 2, OTT 3",TOR,75,68,63,53,48,36,2,3,4.85,4.36,44,49,25,21,20,13,0,2,19,28,9,13,1,1,26,16,16,10,1,0,0.958
"2021-10-14 - TB 7, DET 6",DET,45,69,35,57,26,48,6,7,3.71,4.26,30,44,16,19,10,14,4,3,14,25,7,18,2,4,13,20,8,12,0,0,1.085
"2021-10-14 - TB 7, DET 6",TB,69,45,57,35,48,26,7,6,4.26,3.71,44,30,19,16,14,10,3,4,25,14,18,7,4,2,20,13,12,8,0,0,0.915
"2021-10-14 - PIT 4, FLA 5",FLA,62,77,51,60,39,47,5,4,3.08,4.54,32,42,12,17,9,14,4,3,20,25,13,15,1,0,24,33,13,16,0,1,1.043
"2021-10-14 - PIT 4, FLA 5",PIT,77,62,60,51,47,39,4,5,4.54,3.08,42,32,17,12,14,9,3,4,25,20,15,13,0,1,33,24,16,13,1,0,0.957
"2021-10-14 - DAL 3, NYR 2",DAL,50,77,37,52,26,33,3,2,2.37,3.62,32,37,16,13,9,10,3,1,16,24,8,10,0,1,15,33,8,12,0,0,1.055
"2021-10-14 - DAL 3, NYR 2",NYR,77,50,52,37,33,26,2,3,3.62,2.37,37,32,13,16,10,9,1,3,24,16,10,8,1,0,33,15,12,8,0,0,0.945
"2021-10-14 - NYI 3, CAR 6",CAR,80,48,58,38,41,28,6,3,4.07,3.14,41,26,16,17,11,11,2,3,25,9,9,3,2,0,32,19,19,13,2,0,1.039
"2021-10-14 - NYI 3, CAR 6",NYI,48,80,38,58,28,41,3,6,3.14,4.07,26,41,17,16,11,11,3,2,9,25,3,9,0,2,19,32,13,19,0,2,0.961
"2021-10-14 - ARI 2, CBJ 8",ARI,77,44,58,35,38,26,2,8,3.33,2.0,42,23,14,6,12,5,0,3,28,17,11,7,1,1,33,18,13,12,1,4,0.745
"2021-10-14 - ARI 2, CBJ 8",CBJ,44,77,35,58,26,38,8,2,2.0,3.33,23,42,6,14,5,12,3,0,17,28,7,11,1,1,18,33,12,13,4,1,1.255
"2021-10-14 - SEA 4, NSH 3",NSH,51,41,39,29,30,26,3,4,2.81,2.2,24,19,9,7,9,7,2,3,15,12,7,7,0,0,23,17,12,11,1,1,0.946
"2021-10-14 - SEA 4, NSH 3",SEA,41,51,29,39,26,30,4,3,2.2,2.81,19,24,7,9,7,9,3,2,12,15,7,7,0,0,17,23,11,12,1,1,1.054
"2021-10-14 - VGK 2, LA 6",LA,84,44,62,32,47,25,6,2,3.74,2.15,35,29,16,10,14,6,3,1,19,19,7,10,1,1,39,15,24,9,2,0,1.048
"2021-10-14 - VGK 2, LA 6",VGK,44,84,32,62,25,47,2,6,2.15,3.74,29,35,10,16,6,14,1,3,19,19,10,7,1,1,15,39,9,24,0,2,0.952
"2021-10-15 - CHI 3, NJ 4",CHI,50,50,36,43,27,29,3,4,2.79,2.87,29,34,14,14,12,10,3,3,15,20,3,12,0,1,20,16,12,7,0,0,0.973
"2021-10-15 - CHI 3, NJ 4",NJ,50,50,43,36,29,27,4,3,2.87,2.79,34,29,14,14,10,12,3,3,20,15,12,3,1,0,16,20,7,12,0,0,1.027
"2021-10-15 - VAN 5, PHI 4",PHI,62,67,47,48,35,39,4,4,3.08,3.48,26,40,10,13,8,9,2,2,16,27,8,13,0,2,34,22,18,14,2,0,1.012
