Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2024-01-23,DAL,-145.0,1.69,0.59,0.4849906786519985,0.5150093213480014,0.45,2.2,120,DET
2024-01-23,OTT,-140.0,1.71,0.58,0.5123089783929563,0.4876910216070439,0.47,2.15,115,MTL
2024-01-23,TB,-110.0,1.91,0.52,0.4279404380810639,0.572059561918936,0.52,1.91,-110,PHI
2024-01-23,VGK,125.0,2.25,0.44,0.5154751207023194,0.48452487929768084,0.61,1.65,-155,NYI
2024-01-23,WSH,135.0,2.35,0.43,0.45253049953875857,0.5474695004612417,0.62,1.62,-160,MIN
2024-01-23,STL,,,,0.45170166224547276,0.5482983377545271,0.62,1.61,-165,CGY
2024-01-23,CBJ,290.0,3.9,0.26,0.41653118719935234,0.5834688128006479,0.79,1.27,-375,EDM
2024-01-23,BUF,-160.0,1.62,0.62,0.5180124960552556,0.4819875039447444,0.43,2.35,135,ANA
2024-01-23,NYR,-350.0,1.29,0.78,0.5083282633433088,0.4916717366566912,0.27,3.75,275,SJ
