Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2024-03-02,WPG,125,2.25,0.44,0.42554517257578056,0.5744548274242193,0.6,1.67,-150.0,CAR
2024-03-02,BOS,-125,1.8,0.56,0.45161272533530983,0.5483872746646902,0.49,2.05,105.0,NYI
2024-03-02,EDM,-160,1.62,0.62,0.46281114325884876,0.5371888567411512,0.43,2.35,135.0,SEA
2024-03-02,COL,-135,1.74,0.57,0.43774199693249316,0.5622580030675068,0.47,2.15,115.0,NSH
2024-03-02,VGK,-125,1.8,0.56,0.4142856717364722,0.5857143282635278,0.49,2.05,105.0,BUF
2024-03-02,FLA,-165,1.61,0.62,0.4609179628640658,0.539082037135934,0.42,2.4,140.0,DET
2024-03-02,OTT,110,2.1,0.48,0.4513019167946731,0.5486980832053269,0.56,1.77,-130.0,PHI
2024-03-02,MTL,220,3.2,0.31,0.435365462184811,0.5646345378151891,0.74,1.36,-275.0,TB
2024-03-02,NYR,105,2.05,0.49,0.42861353721218093,0.5713864627878191,0.56,1.8,-125.0,TOR
2024-03-02,CBJ,-135,1.74,0.57,0.5285085344293536,0.4714914655706466,0.47,2.15,115.0,CHI
2024-03-02,SJ,375,4.75,0.21,0.4210886448752367,0.5789113551247634,0.83,1.2,-500.0,DAL
2024-03-02,MIN,-125,1.8,0.56,0.46276092655761686,0.537239073442383,,,,STL
2024-03-02,PIT,105,2.05,0.49,0.4581576347701184,0.5418423652298815,0.56,1.8,-125.0,CGY
