Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
2024-03-12,DET,105,2.05,0.49,0.4136450105422432,0.5863549894577568,0.56,1.8,-125,BUF
2024-03-12,NYR,140,2.4,0.42,0.4390338940951235,0.5609661059048765,0.62,1.61,-165,CAR
2024-03-12,CBJ,100,2.0,0.5,0.4744531462586909,0.525546853741309,0.55,1.83,-120,MTL
2024-03-12,PIT,-115,1.87,0.53,0.45554772133401844,0.5444522786659814,0.51,1.95,-105,OTT
2024-03-12,SJ,260,3.6,0.28,0.4339847562206155,0.5660152437793845,0.78,1.29,-350,PHI
2024-03-12,FLA,-110,1.91,0.52,0.45783163036443736,0.5421683696355626,0.52,1.91,-110,DAL
2024-03-12,ARI,165,2.65,0.38,0.47905177912877445,0.5209482208712257,0.67,1.5,-200,MIN
2024-03-12,ANA,-105,1.95,0.51,0.43041920961291824,0.5695807903870819,0.53,1.87,-115,CHI
2024-03-12,COL,-175,1.57,0.64,0.469820347434729,0.5301796525652708,0.41,2.45,145,CGY
2024-03-12,VGK,-145,1.69,0.59,0.42763946514349915,0.5723605348565008,0.45,2.2,120,SEA
