Game,GameInfo,Date_x,AwayTeam,AwayScore,HomeTeam,HomeScore,HomeResult,Date_y,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team
"2023-12-19 - EDM 1, NYI 3","2023-12-19 - EDM, NYI",2023-12-19,EDM,1,NYI,3,Won,2023-12-19,EDM,-150.0,1.67,0.6,0.4894407726985008,0.5105592273014992,0.44,2.25,125.0,NYI
"2023-12-19 - VAN 5, NSH 2","2023-12-19 - VAN, NSH",2023-12-19,VAN,5,NSH,2,Lost,2023-12-19,VAN,105.0,2.05,0.49,0.4549232967104327,0.5450767032895671,0.56,1.8,-125.0,NSH
"2023-12-19 - COL 2, CHI 3","2023-12-19 - COL, CHI",2023-12-19,COL,2,CHI,3,Won,2023-12-19,COL,-225.0,1.44,0.69,0.5141810244548424,0.4858189755451575,0.35,2.85,185.0,CHI
"2023-12-19 - OTT 3, ARI 4","2023-12-19 - OTT, ARI",2023-12-19,OTT,3,ARI,4,Won,2023-12-19,OTT,-125.0,1.8,0.56,0.4889858594780162,0.5110141405219837,0.49,2.05,105.0,ARI
"2023-12-19 - LA 4, SJ 1","2023-12-19 - LA, SJ",2023-12-19,LA,4,SJ,1,Lost,2023-12-19,LA,-250.0,1.4,0.71,0.5158567853315439,0.4841432146684561,0.33,3.0,200.0,SJ
"2023-12-20 - DET 2, WPG 5","2023-12-20 - DET, WPG",2023-12-20,DET,2,WPG,5,Won,2023-12-20,DET,125.0,2.25,0.44,0.4229180281292717,0.5770819718707284,0.61,1.65,-155.0,WPG
"2023-12-20 - NYI 2, WSH 3","2023-12-20 - NYI, WSH",2023-12-20,NYI,2,WSH,3,Won,2023-12-20,NYI,105.0,2.05,0.49,0.42595025126581,0.57404974873419,0.56,1.8,-125.0,WSH
"2023-12-20 - SEA 2, LA 1","2023-12-20 - SEA, LA",2023-12-20,SEA,2,LA,1,Lost,2023-12-20,SEA,140.0,2.4,0.42,0.4718290387928753,0.5281709612071247,0.62,1.61,-165.0,LA
"2023-12-21 - TOR 3, BUF 9","2023-12-21 - TOR, BUF",2023-12-21,TOR,3,BUF,9,Won,2023-12-21,TOR,-145.0,1.69,0.59,0.466010036921036,0.533989963078964,0.45,2.2,120.0,BUF
"2023-12-21 - WSH 3, CBJ 2","2023-12-21 - WSH, CBJ",2023-12-21,WSH,3,CBJ,2,Lost,2023-12-21,WSH,-115.0,1.87,0.53,0.5462683853280944,0.4537316146719055,0.51,1.95,-105.0,CBJ
"2023-12-21 - STL 4, FLA 1","2023-12-21 - STL, FLA",2023-12-21,STL,4,FLA,1,Lost,2023-12-21,STL,,,,0.423717440883559,0.576282559116441,0.68,1.48,-210.0,FLA
"2023-12-21 - EDM 6, NJ 3","2023-12-21 - EDM, NJ",2023-12-21,EDM,6,NJ,3,Lost,2023-12-21,EDM,-110.0,1.91,0.52,0.4675951610306291,0.532404838969371,0.52,1.91,-110.0,NJ
"2023-12-21 - NSH 4, PHI 2","2023-12-21 - NSH, PHI",2023-12-21,NSH,4,PHI,2,Lost,2023-12-21,NSH,-105.0,1.95,0.51,0.4883928125769953,0.5116071874230046,0.53,1.87,-115.0,PHI
"2023-12-21 - CAR 1, PIT 2","2023-12-21 - CAR, PIT",2023-12-21,CAR,1,PIT,2,Won,2023-12-21,CAR,-135.0,1.74,0.57,0.4882498728187885,0.5117501271812115,0.48,2.1,110.0,PIT
"2023-12-21 - VGK 4, TB 5","2023-12-21 - VGK, TB",2023-12-21,VGK,4,TB,5,Won,2023-12-21,VGK,-105.0,1.95,0.51,0.4538370005410032,0.5461629994589969,0.53,1.87,-115.0,TB
"2023-12-21 - VAN 3, DAL 4","2023-12-21 - VAN, DAL",2023-12-21,VAN,3,DAL,4,Won,2023-12-21,VAN,125.0,2.25,0.44,0.4855550207691096,0.5144449792308903,0.61,1.65,-155.0,DAL
"2023-12-21 - MTL 3, MIN 4","2023-12-21 - MTL, MIN",2023-12-21,MTL,3,MIN,4,Won,2023-12-21,MTL,150.0,2.5,0.4,0.4426695303706268,0.5573304696293732,0.65,1.54,-185.0,MIN
"2023-12-21 - OTT 4, COL 6","2023-12-21 - OTT, COL",2023-12-21,OTT,4,COL,6,Won,2023-12-21,OTT,145.0,2.45,0.41,0.4242552220119744,0.5757447779880255,0.64,1.57,-175.0,COL
"2023-12-21 - CGY 3, ANA 0","2023-12-21 - CGY, ANA",2023-12-21,CGY,3,ANA,0,Lost,2023-12-21,CGY,-175.0,1.57,0.64,0.5,0.5,0.41,2.45,145.0,ANA
